symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
LDO_KRW,B,2025-08-08 15:00:00,1553.552,2025-08-09 00:00:00,1548.896,-0.0029970029970029645,SL,1,-0.02739013563755826,55.678670359031166,1553.552,1552.0,2499164439.2352514,1383754520.6419096
DRIFT_KRW,B,2025-08-08 15:00:00,780.7799999999999,2025-08-09 00:00:00,779.22,-0.001998001998001783,SL,1,-0.0214913291836367,50.92592592372543,780.7799999999999,780.0,4305635249.515122,2346936474.2165837
CRV_KRW,B,2025-08-09 00:00:00,1303.602,2025-08-09 15:00:00,1300.9947960000002,-0.001999999999999931,SL,1,-0.005064429173935057,42.553191488209386,1303.602,1365.0,1139268739.3314729,878654399.437558
PENGU_KRW,B,2025-08-09 00:00:00,51.121069999999996,2025-08-10 00:00:00,52.26768,0.010714651805997039,Trail,2,0.0,38.137755079339776,51.121069999999996,52.32,86502172319.4003,115732438998.1567
XTZ_KRW,B,2025-08-09 15:00:00,1282.281,2025-08-10 00:00:00,1278.438,-0.002997002997002878,SL,1,-0.0782051671981414,56.16161616002775,1282.281,1281.0,7521042625.197648,1634823517.5848355
FLOKI_KRW,B,2025-08-09 15:00:00,0.16573079999999998,2025-08-10 00:00:00,0.1650692,-0.003992015968063778,SL,1,-0.0514738358832515,42.66303536300957,0.16573079999999998,0.1654,1631683860.786182,1479699261.6602604
PENGU_KRW,B,2025-08-10 00:00:00,52.372319999999995,2025-08-10 15:00:00,52.31994767999999,-0.0010000000000000664,SL,1,-0.01665612674786977,38.3996612812195,52.372319999999995,53.22,115732438998.1567,88129270778.524
HBAR_KRW,B,2025-08-10 00:00:00,363.36299999999994,2025-08-10 15:00:00,356.643,-0.018493902791423374,SL,1,-0.05328830948665644,38.05970148856092,363.36299999999994,357.0,7359670104.152651,7134590938.109477
DBR_KRW,B,2025-08-10 15:00:00,35.520900000000005,2025-08-11 00:00:00,35.343650000000004,-0.004990019960079862,SL,1,-0.04366161893420509,24.471299072954807,35.520900000000005,35.45,1236516903.4187617,330277416.18770474
SUI_KRW,B,2025-08-10 15:00:00,5280.275,2025-08-11 00:00:00,5269.725,-0.0019980019980018605,SL,1,-0.036035054992400894,36.84210526290179,5280.275,5275.0,16204431928.650202,16027990109.315702
AVAX_KRW,B,2025-08-11 00:00:00,32722.689999999995,2025-08-11 15:00:00,32297.67,-0.012988540978751956,SL,1,-0.05264512177941347,33.39416058389895,32722.689999999995,32330.0,2931666269.0055766,3137822254.266675
CAKE_KRW,B,2025-08-11 00:00:00,3868.5709999999995,2025-08-11 15:00:00,3776.636,-0.0237645890433443,SL,1,-0.03814612682564168,37.47826086910896,3868.5709999999995,3788.0,304427762.2970823,237438313.99787265
ZIL_KRW,B,2025-08-12 00:00:00,19.059039999999996,2025-08-12 15:00:00,18.96294,-0.00504222668088195,SL,1,-0.029332012525289632,43.63636345123967,19.059039999999996,19.02,2657117702.0881357,578694088.4466778
FXS_KRW,B,2025-08-12 00:00:00,4235.07,2025-08-13 00:00:00,4245.665,-0.0012491351972931004,Trail,2,0.0,48.227294802974654,4235.07,4267.0,187978291.87183017,79207005.18240695
RENDER_KRW,B,2025-08-12 15:00:00,5386.11,2025-08-13 00:00:00,5353.89,-0.005982053838484425,SL,1,-0.006704281940027158,46.53405666024625,5386.11,5370.0,261080921.1269298,399078577.3449041
EL_KRW,B,2025-08-12 15:00:00,7.18434,2025-08-13 00:00:00,7.14849,-0.004990019960079832,SL,1,-0.014384063115052925,52.216748408357404,7.18434,7.17,888149659.4938388,544231029.6703961
CKB_KRW,B,2025-08-13 00:00:00,7.6448659999999995,2025-08-13 15:00:00,7.6219314019999995,-0.0029999999999999966,SL,1,-0.06080760604567821,49.38358552611124,7.6448659999999995,7.864,318986337.630909,628661410.4052404
FIDA_KRW,B,2025-08-13 00:00:00,140.14,2025-08-13 15:00:00,139.99985999999998,-0.001000000000000017,SL,1,-0.029541886684743734,61.904761884126984,140.14,150.0,16926229894.471085,12032354683.43736
THE_KRW,B,2025-08-13 15:00:00,602.602,2025-08-14 00:00:00,600.796,-0.0029970029970028747,SL,1,-0.1005672068794992,58.96656534703486,602.602,602.0,9633783170.589481,1158946215.442175
FLOKI_KRW,B,2025-08-13 15:00:00,0.15981900000000002,2025-08-14 00:00:00,0.159181,-0.003992015968064044,SL,1,-0.08646656530199803,52.03365037207427,0.15981900000000002,0.1595,1263118231.8823953,1592991603.6902843
TIA_KRW,B,2025-08-14 00:00:00,2654.2980000000002,2025-08-14 15:00:00,2513.962,-0.05287122998246626,SL,1,-0.09354563805571198,55.530216646776026,2654.2980000000002,2519.0,1288183926.8186274,1226198919.2615159
CVC_KRW,B,2025-08-14 00:00:00,135.40499999999997,2025-08-14 15:00:00,133.33,-0.015324397178833578,SL,1,-0.04730253683394242,48.48484846427915,135.40499999999997,134.0,284828222.93243665,124325125.25046639
ADP_KRW,B,2025-08-16 00:00:00,2.5295849999999995,2025-08-16 15:00:00,2.5169370749999995,-0.005000000000000003,SL,1,-0.015648811959273683,60.67072911771276,2.5295849999999995,2.541,177919755.5810653,134859067.1055891
USDS_KRW,B,2025-08-16 00:00:00,1390.9199999999998,2025-08-16 15:00:00,1381.06,-0.007088833290196345,SL,1,-0.004256175768555953,49.99999998970588,1390.9199999999998,1388.0,14315877.935661236,3013666.3848527563
TON_KRW,B,2025-08-17 00:00:00,4826.009999999999,2025-08-17 15:00:00,4804.543,-0.004448188047683209,SL,1,-0.0372999641525814,37.8228782282938,4826.009999999999,4819.0,107672810.97314388,224613819.93035132
PAXG_KRW,B,2025-08-18 00:00:00,4640084.999999999,2025-08-18 15:00:00,4626164.744999999,-0.0029999999999999766,SL,1,-0.006268204138501573,42.136498516318724,4640084.999999999,4649000.0,132265058.5300747,268062265.31647706
KERNEL_KRW,B,2025-08-20 00:00:00,279.279,2025-08-21 00:00:00,305.694,0.04679141825916028,Trail,2,0.0,60.49382715526597,279.279,314.0,5704703820.356146,2713332643.5313497
KERNEL_KRW,B,2025-08-21 00:00:00,314.31399999999996,2025-08-21 15:00:00,306.693,-0.024246454182759856,SL,1,-0.05508504234618874,55.48780487331202,314.31399999999996,307.0,2713332643.5313497,6922245682.6743965
PAXG_KRW,B,2025-08-21 00:00:00,4682294.999999999,2025-08-21 15:00:00,4635705.0,-0.00995024875621871,SL,1,-0.00903296353604356,45.5882352941153,4682294.999999999,4659000.0,70679629.5688471,57007440.40786885
IP_KRW,B,2025-08-23 00:00:00,8216.4,2025-08-23 15:00:00,8191.7508,-0.00299999999999998,SL,1,-0.01477532739399246,40.07352941155845,8216.4,8335.0,1371326212.7890081,721519753.3459674
PENGU_KRW,B,2025-08-23 00:00:00,45.115069999999996,2025-08-24 00:00:00,47.352599999999995,0.024298033118423604,Trail,2,0.0,42.20226840307979,45.115069999999996,49.01,114784936924.82466,44291151225.784676
RPL_KRW,B,2025-08-23 15:00:00,11102.16,2025-08-24 00:00:00,11046.76,-0.004990019960079807,SL,1,-0.051535917335005066,45.859872611328655,11102.16,11080.0,1179598883.4512703,553571718.0800322
ATH_KRW,B,2025-08-23 15:00:00,47.807759999999995,2025-08-24 00:00:00,47.66448,-0.0029970029970029385,SL,1,-0.022961962660454995,37.798165105249296,47.807759999999995,47.76,6077273886.965603,1337867323.3198307
